city,country,apartment_1bed_city_centre,apartment_1bed_outside_centre,apartment_3bed_city_centre,apartment_3bed_outside_centre,apples_1kg,average_salary_net,banana_1kg,beef_round_1kg,bread_500g,cappuccino,cheese_1kg,chicken_breasts_1kg,cigarettes_marlboro,cinema_ticket,coke_pepsi_bottle,domestic_beer_bottle,domestic_beer_draught,eggs_12,fitness_club_monthly,gasoline_1_liter,imported_beer_bottle,internet_unlimited,jeans_levis,lettuce_head,mcmeal_mcdonalds,meal_inexpensive_restaurant,meal_mid_range_restaurant,men_leather_shoes,milk_1_liter,mobile_tariff_minute,monthly_pass_transport,mortgage_interest_rate,nike_shoes,one_way_ticket_transport,onion_1kg,oranges_1kg,potato_1kg,preschool_monthly,primary_school_yearly,rice_1kg,sqm_price_city_centre,sqm_price_outside_centre,summer_dress_chain_store,taxi_1km,taxi_start,taxi_waiting_1hour,tennis_court_hourly,tomato_1kg,toyota_corolla,utilities_basic_apartment,volkswagen_golf,water_033_bottle,water_15_bottle,wine_bottle
Saint Petersburg,Russia,524.45,344.27,1012.53,615.19,1.29,645.94,0.89,7.18,0.71,1.96,7.6,3.96,2.2,5.14,0.76,0.88,2.2,1.18,26.27,0.67,1.89,6.96,71.86,0.86,4.4,7.34,29.35,100.72,0.98,0.03,42.56,10.29,74.88,0.59,0.48,1.25,0.56,411.83,5388.86,0.92,2476.05,1507.7,38.25,0.26,1.47,4.4,18.33,1.91,19305.29,102.17,19289.39,,0.63,5.87
Istanbul,Turkey,291.55,177.72,545.5,314.98,0.85,436.0,1.91,9.73,0.36,1.84,5.32,3.5,2.75,3.82,0.64,1.79,3.06,1.62,25.1,1.05,2.48,14.2,36.15,0.61,3.82,4.58,15.28,50.58,0.71,0.11,31.32,19.08,61.31,0.41,0.62,0.86,0.59,282.94,6905.43,1.3,1315.18,657.05,25.91,0.47,0.76,3.59,15.66,0.8,20874.72,59.33,24443.15,,0.33,7.64
Izmir,Turkey,212.22,128.36,353.76,225.34,0.77,392.07,1.78,8.61,0.38,1.56,4.97,3.05,2.29,3.06,0.61,1.63,2.29,1.51,20.64,1.04,2.09,12.89,33.2,0.57,3.06,3.06,12.22,42.2,0.65,0.09,22.92,22.23,52.74,0.46,0.58,0.73,0.52,212.18,4948.41,1.31,856.54,508.14,22.48,0.57,0.61,3.51,11.67,0.7,20898.83,51.07,24443.15,,0.29,6.11
Helsinki,Finland,986.93,758.13,1819.32,1271.16,2.1,2382.56,1.61,12.34,2.27,3.87,6.87,9.42,7.7,14.0,2.66,2.23,6.5,2.02,34.54,1.54,2.95,22.31,83.41,2.3,8.0,12.0,65.0,120.97,0.96,0.07,59.7,1.38,82.49,2.8,1.25,1.75,0.91,351.6,1641.0,2.13,7444.54,4099.36,31.41,1.0,6.0,47.04,24.72,2.91,24402.77,82.66,22000.0,,1.54,12.0
Chisinau,Moldova,244.49,177.96,428.67,330.84,0.7,286.95,1.37,5.37,0.33,1.25,5.79,3.55,1.56,5.19,0.64,0.77,1.04,1.11,26.64,0.98,1.38,8.58,56.54,0.84,4.15,4.67,20.74,94.38,0.68,0.07,9.33,9.42,86.25,0.1,0.59,1.22,0.56,210.52,2679.3,0.93,904.82,589.13,35.37,0.18,1.3,3.11,12.1,1.56,17238.13,113.46,16335.12,,0.59,3.61
Milan,Italy,1099.67,731.69,2311.84,1428.3,2.13,1601.0,1.99,17.75,1.94,1.46,13.54,8.83,5.5,10.0,2.49,1.2,5.0,2.87,66.62,1.59,2.01,28.93,86.65,1.27,8.0,15.0,60.0,135.8,1.21,0.18,39.0,1.95,86.32,2.0,1.27,2.05,1.28,617.27,10761.9,2.25,8221.95,3719.51,32.8,1.12,5.0,28.32,22.96,2.45,23233.33,163.97,22400.0,,0.4,7.0
Cairo,Egypt,188.0,109.76,352.74,229.29,1.31,221.7,0.66,8.06,0.51,1.65,3.16,4.18,2.26,4.51,0.29,1.4,1.69,1.04,26.19,0.45,2.06,14.77,42.38,0.28,4.51,3.38,17.48,56.92,0.84,0.01,11.28,13.42,114.98,0.28,0.34,0.39,0.47,121.15,2781.29,0.65,695.67,407.03,44.32,0.17,0.39,1.13,7.07,0.35,21020.29,25.79,25098.6,,0.29,10.72
Banja Luka,Bosnia And Herzegovina,219.72,159.73,398.18,259.32,0.86,430.69,1.06,7.43,0.63,0.85,4.76,3.97,2.81,2.55,1.18,0.5,1.02,1.47,20.7,1.17,0.86,21.34,63.44,0.55,3.58,3.58,22.99,74.25,0.69,0.1,22.48,4.46,73.77,0.92,0.64,1.18,0.55,128.7,1348.77,1.05,1328.34,1008.17,26.64,0.77,1.02,7.66,9.38,0.94,16529.98,141.04,16859.68,,0.48,4.34
Baku,Azerbaijan,290.07,157.97,608.91,299.45,0.69,294.03,1.22,6.15,0.26,2.15,3.54,2.92,2.11,3.69,0.37,0.76,0.84,1.03,30.43,0.49,1.94,15.51,43.59,0.42,4.22,5.27,23.73,76.12,0.83,0.03,9.63,8.21,93.36,0.16,0.39,1.26,0.46,208.84,5657.01,1.05,1307.4,647.53,40.16,0.32,0.84,1.58,16.73,0.83,18564.59,42.65,15558.4,,0.43,4.75
Guadalajara,Mexico,309.42,186.98,634.96,388.33,1.96,498.68,0.94,6.88,1.35,1.99,4.09,4.65,2.48,3.58,0.66,0.82,1.43,1.25,24.59,1.0,1.48,27.53,40.8,0.73,4.25,5.25,23.86,57.71,0.87,0.06,18.67,11.24,68.04,0.43,1.03,1.02,1.0,145.75,2826.61,1.04,1016.15,922.24,29.7,0.46,1.43,7.16,9.71,0.98,15579.09,22.64,16535.22,,0.73,7.16
Kathmandu,Nepal,155.63,100.89,295.43,186.01,1.69,184.17,0.9,4.39,0.43,1.54,7.48,3.69,1.99,3.06,0.45,1.78,2.38,1.29,24.02,0.87,2.5,16.66,24.3,0.28,5.56,1.99,11.92,38.55,0.67,0.02,7.15,11.06,49.71,0.16,0.41,0.95,0.32,55.92,1154.07,0.79,1228.74,596.05,27.81,0.6,1.99,2.78,8.5,0.5,46216.93,24.92,29976.83,,0.28,6.75
Hanoi,Vietnam,318.43,192.28,608.96,426.13,2.71,354.62,0.85,7.92,0.71,1.57,14.41,3.36,1.11,3.69,0.45,0.65,0.78,1.31,24.06,0.79,1.18,9.41,30.9,0.58,3.88,1.94,15.52,67.54,1.32,0.06,7.76,8.39,73.25,0.27,0.91,1.63,0.92,166.55,8021.9,0.79,1791.94,936.95,28.7,0.43,0.39,1.16,6.68,0.94,33491.64,67.49,38808.39,,0.59,7.76
Ho Chi Minh City,Vietnam,421.19,284.19,971.4,588.11,2.37,347.14,0.77,9.69,0.66,1.72,11.35,2.45,0.97,3.5,0.43,0.73,0.78,1.26,21.48,0.8,1.13,10.42,37.62,0.72,3.87,1.94,17.5,66.79,1.21,0.08,5.83,9.15,81.51,0.23,0.92,1.18,0.93,109.65,7237.44,0.71,2317.13,1102.68,29.14,0.54,0.47,1.17,6.82,0.77,30780.17,51.25,38894.22,,0.47,9.72
Mexico City,Mexico,550.18,342.38,1139.78,734.62,1.93,596.3,0.95,6.9,1.44,2.0,4.93,4.41,2.48,3.82,0.61,1.08,1.91,1.36,49.56,0.98,2.15,26.34,41.62,0.76,4.77,4.77,23.86,72.78,0.91,0.06,14.32,11.28,73.85,0.29,1.13,0.82,1.07,211.05,4721.73,0.95,2188.9,1438.46,32.29,0.29,0.62,4.94,16.17,1.05,14844.85,30.09,16702.48,,0.66,7.16
Rome,Italy,987.37,679.27,1870.0,1176.32,1.88,1466.06,1.77,14.54,1.54,1.28,12.33,8.32,5.5,8.5,1.87,1.02,5.0,2.96,57.77,1.57,1.57,29.64,80.36,1.0,8.0,15.0,55.0,116.65,1.28,0.18,35.0,2.12,79.79,1.5,1.29,1.84,1.33,523.86,11972.73,2.02,6421.74,2926.09,31.39,1.41,4.0,27.0,16.81,2.04,23535.29,171.15,20700.0,,0.38,6.0
Monterrey,Mexico,342.55,207.9,757.86,461.34,2.14,695.46,0.88,6.01,1.51,2.28,5.2,4.72,2.49,3.59,0.69,0.94,1.68,1.6,34.28,0.97,1.41,25.84,40.51,0.79,4.31,5.75,23.94,61.59,0.91,0.05,17.96,10.25,66.7,0.57,1.44,1.01,1.21,198.98,4080.55,0.87,1021.06,632.67,28.55,0.38,0.67,7.18,10.37,1.23,14421.34,49.81,16424.2,,0.79,9.58
Yekaterinburg,Russia,332.66,232.83,549.9,394.59,1.29,537.99,0.97,6.79,0.43,1.65,6.29,3.87,1.91,3.68,0.77,0.86,1.47,0.92,35.51,0.65,1.33,7.61,62.56,0.52,4.12,5.88,29.42,91.27,0.75,0.02,29.42,10.56,74.23,0.41,0.41,1.21,0.43,199.74,3166.47,0.83,1412.29,955.57,38.29,0.21,1.47,3.53,16.31,1.31,18832.1,113.13,19857.48,,0.46,6.99
Sarajevo,Bosnia And Herzegovina,254.49,170.61,510.21,307.2,0.94,486.12,1.13,7.66,0.52,1.28,5.58,3.85,2.81,3.57,1.36,0.62,1.79,1.49,26.5,1.19,1.0,22.77,53.86,0.51,4.08,3.57,20.42,86.28,0.7,0.12,27.06,4.6,71.16,0.92,0.63,1.22,0.57,164.67,3431.24,1.05,1690.41,994.5,29.39,0.61,0.97,5.11,10.58,1.13,17681.12,140.53,17868.62,,0.51,4.59
Kharkiv,Ukraine,346.56,217.86,615.91,392.63,0.56,337.4,0.98,4.84,0.41,1.03,6.47,3.48,1.43,3.75,0.38,0.66,0.88,1.0,18.58,1.09,1.18,5.57,64.99,0.68,3.75,4.5,18.76,105.76,0.85,0.03,11.42,19.1,90.65,0.3,0.39,1.08,0.38,176.48,2033.83,0.97,961.38,525.36,42.65,0.26,1.5,3.38,8.27,0.95,21067.14,117.46,22507.19,,0.4,3.75
Kiev,Ukraine,589.81,340.8,988.82,560.35,0.59,516.75,1.06,5.65,0.58,1.17,7.07,3.92,1.65,4.31,0.58,0.75,1.13,1.13,20.92,1.12,1.32,5.11,64.03,0.85,3.75,5.63,22.51,110.43,0.93,0.04,12.19,19.52,98.26,0.3,0.55,1.11,0.5,254.74,7483.6,1.04,1652.8,802.55,40.73,0.26,1.69,3.0,11.48,1.57,20758.91,98.74,21608.29,,0.49,3.75
Calgary,Canada,833.74,661.22,1352.81,1045.82,2.8,2956.33,1.21,10.19,1.83,3.14,9.53,9.17,11.0,9.62,1.63,2.53,4.81,2.19,40.58,0.72,2.75,54.67,42.31,1.63,6.87,13.75,42.97,84.89,1.35,0.19,72.87,3.48,66.55,2.34,1.58,2.76,1.5,780.68,10418.14,2.0,3412.99,2123.54,30.61,1.15,2.61,19.8,16.06,2.42,15976.18,132.57,17186.61,,1.59,10.31
Tunis,Tunisia,173.76,121.37,331.41,244.12,1.42,285.79,1.54,8.04,0.1,0.67,6.52,3.39,2.08,3.19,0.5,0.74,1.6,0.82,22.1,0.63,0.9,17.03,39.79,0.28,3.19,1.92,12.78,45.83,0.39,0.06,9.58,9.23,71.6,0.16,0.49,0.6,0.5,72.31,1644.93,0.56,714.1,504.39,37.3,0.32,0.16,4.79,6.44,0.53,21400.1,30.66,21863.24,,0.22,4.79
Edmonton,Canada,841.34,680.79,1340.62,1052.03,2.68,2552.22,1.11,9.78,1.82,2.95,7.4,8.45,9.62,9.62,1.48,1.54,4.12,2.2,38.6,0.71,2.37,52.56,45.49,1.72,6.53,13.75,48.12,83.04,1.57,0.23,66.68,3.62,64.09,2.41,1.53,2.54,2.14,588.27,6840.27,2.53,2283.92,1715.29,33.79,1.13,2.58,20.62,13.33,3.09,16049.12,154.54,16499.14,,1.24,10.31
Amsterdam,Netherlands,1584.45,1195.63,2683.74,1884.0,2.27,2646.66,1.75,13.68,1.43,3.13,11.93,8.79,7.0,12.0,2.35,1.26,5.0,2.64,36.67,1.66,2.07,40.47,84.49,1.03,8.0,15.0,65.0,133.43,1.02,0.18,97.0,2.33,93.85,3.2,1.27,1.77,1.54,1542.42,13010.39,1.9,7733.98,4988.62,37.62,2.35,5.0,40.33,25.64,2.36,26696.43,169.18,25505.0,,0.83,5.99
Belgrade,Serbia,341.08,216.64,652.24,395.57,0.72,437.24,0.98,6.65,0.42,1.41,5.03,4.51,2.8,4.24,1.34,0.61,1.7,1.37,24.61,1.35,1.1,21.45,65.5,0.38,5.09,5.39,24.62,92.13,0.79,0.1,27.17,3.99,74.8,0.76,0.5,1.03,0.52,245.94,4803.12,1.09,2502.53,1345.89,27.28,0.55,1.44,6.37,12.13,1.02,17474.32,135.76,17828.77,,0.43,4.24
Odessa,Ukraine,344.01,232.04,599.79,405.27,0.65,360.47,1.05,5.65,0.45,1.19,6.61,3.92,1.51,4.52,0.57,0.68,0.94,1.18,20.84,1.09,1.37,5.73,74.37,0.82,3.67,5.65,20.67,107.27,0.97,0.03,6.77,19.0,97.01,0.26,0.47,1.36,0.46,210.98,2358.66,0.97,1107.23,645.76,50.34,0.26,1.88,4.52,9.45,1.35,21373.22,94.58,21584.23,,0.48,3.01
Paris,France,1177.51,837.76,2597.17,1736.93,3.04,2215.02,2.11,18.89,1.52,3.4,18.14,12.98,8.8,11.0,3.14,1.78,7.0,3.4,39.98,1.56,2.27,27.15,86.04,1.3,8.7,15.0,50.0,135.0,1.24,0.19,75.0,1.63,92.46,1.9,2.28,2.64,1.98,877.75,12939.69,1.79,11203.03,8334.37,36.0,1.35,5.0,39.02,20.05,2.82,24250.0,170.29,21500.0,,0.9,8.0
Eindhoven,Netherlands,965.16,838.0,1513.54,1245.65,2.23,2603.84,1.7,14.64,1.09,2.63,10.23,8.44,7.0,12.0,2.41,1.19,5.0,2.44,24.24,1.62,1.78,36.18,81.36,1.04,8.0,15.0,56.5,110.76,0.93,0.11,72.0,2.41,78.11,3.99,1.3,1.55,1.56,1221.3,4787.5,1.87,3471.67,2559.09,29.35,3.0,3.19,36.0,19.11,2.44,25728.62,168.08,24830.0,,0.81,5.99
Plovdiv,Bulgaria,240.77,179.23,412.1,290.7,0.89,514.73,1.3,6.03,0.56,1.27,5.03,4.73,2.81,5.61,0.95,0.62,1.28,1.53,24.85,1.15,1.02,11.57,42.91,0.42,4.59,5.1,20.42,66.04,1.03,0.14,20.42,4.11,69.62,0.51,0.64,1.16,0.55,225.8,3725.87,1.08,950.91,693.33,24.77,0.43,0.5,6.12,11.18,1.32,17879.91,79.71,17863.74,,0.5,5.1
Thessaloniki,Greece,336.96,269.45,543.56,440.83,1.15,660.51,1.47,8.26,0.91,3.21,7.52,6.68,4.5,8.0,1.46,1.14,3.5,3.03,31.3,1.56,1.93,30.22,74.39,0.81,6.5,10.0,35.0,87.5,1.11,0.44,30.0,4.56,71.64,1.0,0.77,1.13,0.71,301.04,6775.0,1.52,1745.83,1279.03,27.6,1.0,3.5,11.81,9.98,1.16,18173.5,160.39,18500.0,,0.78,6.5
Ottawa,Canada,961.81,745.27,1642.15,1256.39,2.7,2904.67,1.06,10.43,1.94,2.85,8.14,9.04,9.97,9.62,1.39,1.57,4.81,2.08,40.21,0.81,1.94,43.85,45.53,1.75,6.87,11.0,55.0,99.17,1.44,0.18,80.09,3.63,72.18,2.41,1.44,3.06,1.44,782.15,9040.16,2.42,3379.74,2010.41,34.91,1.21,2.65,13.67,16.84,2.36,16072.54,102.76,17186.61,,1.21,10.31
Sofia,Bulgaria,370.72,285.96,665.27,479.09,1.01,708.65,1.28,7.33,0.56,1.25,5.99,5.01,2.86,6.14,0.84,0.7,1.53,1.73,24.34,1.16,1.29,10.38,55.98,0.64,4.6,6.14,25.57,71.3,1.04,0.15,25.57,3.51,67.24,0.82,0.59,1.16,0.61,325.23,4753.12,1.08,1560.46,1049.71,27.08,0.41,0.41,6.75,11.08,1.41,18183.2,89.74,19518.73,,0.54,4.6
Rotterdam,Netherlands,1103.13,844.33,1845.83,1230.43,2.09,2312.39,1.73,12.69,1.12,2.73,9.64,7.9,7.0,12.0,2.09,0.94,4.0,2.2,28.8,1.65,1.54,38.2,84.5,1.03,8.0,13.0,50.0,130.28,0.89,0.13,70.42,2.21,85.25,4.0,1.21,1.47,1.28,1116.67,10142.86,1.7,3648.71,2604.81,31.55,2.17,3.0,25.0,19.25,2.47,23899.0,153.76,23600.0,,0.73,5.0
Varna,Bulgaria,235.36,170.63,440.04,305.21,1.01,511.5,1.39,7.4,0.51,1.23,4.91,4.5,2.81,6.12,0.87,0.6,1.02,1.5,22.19,1.12,0.99,11.2,38.91,0.62,4.08,6.12,20.42,63.31,1.02,0.13,20.42,4.28,58.15,0.51,0.54,1.15,0.52,263.81,3585.51,1.05,1016.49,682.83,25.6,0.45,0.56,7.66,10.43,1.27,17065.34,75.54,18374.14,,0.47,4.59
Novi Sad,Serbia,262.4,195.75,451.15,302.16,0.71,439.58,1.1,5.87,0.43,1.11,4.62,4.3,2.72,3.4,1.15,0.56,1.5,1.24,22.89,1.34,0.99,19.3,61.05,0.39,4.42,4.84,17.85,82.88,0.76,0.09,20.0,3.49,71.99,0.55,0.51,1.09,0.49,167.1,2644.23,1.03,1569.73,1090.36,31.26,0.48,0.85,4.25,6.02,0.88,17816.21,122.93,20402.08,,0.43,4.04
Utrecht,Netherlands,1135.77,791.9,1944.44,1272.5,2.19,2214.18,1.93,15.66,1.15,3.03,10.49,8.39,7.0,11.0,2.53,1.1,5.0,2.45,28.05,1.66,1.75,35.06,100.8,1.07,8.0,15.0,65.0,123.76,0.92,0.15,90.0,2.55,91.65,2.6,1.3,1.5,1.41,1450.0,6125.0,1.92,4334.9,3548.5,37.56,2.2,5.0,36.0,20.62,2.39,33271.6,193.84,23000.0,,0.8,6.0
Berlin,Germany,896.5,651.04,1681.19,1217.77,2.15,2289.46,1.47,11.24,1.34,2.74,8.12,6.95,6.4,10.0,2.02,0.86,3.5,1.9,26.39,1.44,1.32,29.08,81.47,1.13,7.0,8.5,40.0,104.49,0.8,0.1,81.0,1.85,81.71,2.8,1.39,2.23,1.49,177.88,6829.05,1.76,6051.94,3803.7,31.93,2.0,3.9,30.0,19.23,2.22,19749.0,231.8,19520.0,,0.52,5.0
Beirut,Lebanon,719.35,393.83,1647.29,751.31,1.71,859.89,1.2,11.51,0.86,3.82,9.51,7.33,2.19,8.98,0.74,1.21,3.22,2.59,65.66,0.8,1.91,49.74,58.37,0.85,7.19,8.98,53.91,102.15,1.89,0.29,53.91,7.35,99.0,1.19,0.87,1.23,0.81,348.27,4684.61,1.46,3589.98,1538.73,42.06,1.8,5.39,11.95,24.45,1.09,18766.59,122.43,19766.67,,0.7,8.98
"Austin, TX",United States,1581.66,995.9,2750.15,1714.92,4.02,4097.92,1.04,10.6,2.4,3.95,9.01,7.26,6.06,10.78,1.87,2.14,4.49,2.24,34.53,0.56,3.0,55.38,39.01,1.45,7.19,13.48,44.92,88.55,0.75,0.09,37.06,4.09,67.69,1.12,1.82,3.58,2.25,890.67,17537.93,2.6,3919.75,1955.36,33.93,1.51,2.25,26.06,14.6,3.19,18743.38,124.12,19627.4,,1.38,10.78
Singapore,Singapore,1859.98,1174.57,3509.54,2007.43,3.0,2988.12,2.22,11.35,1.5,3.66,12.38,5.88,9.33,8.66,1.25,3.45,6.66,1.97,88.55,1.5,3.8,28.85,61.63,1.41,5.33,8.33,39.98,93.88,2.04,0.14,79.96,2.52,81.17,1.2,1.92,2.72,2.01,773.41,18581.67,2.01,17864.28,8977.26,33.52,0.37,2.4,11.99,8.95,2.01,67345.1,97.79,76598.98,,1.11,19.99
Toronto,Canada,1474.75,1180.29,2401.86,1792.3,2.84,2352.69,1.22,14.8,1.99,3.1,13.71,9.73,10.31,10.31,1.64,2.17,5.16,2.27,37.38,0.83,2.22,44.42,47.84,1.93,7.56,13.75,55.0,91.59,1.94,0.26,103.91,3.33,73.58,2.23,2.13,3.04,2.05,1022.99,17653.1,2.46,7385.25,5730.86,31.55,1.26,2.75,21.33,22.27,2.88,17570.16,95.48,18011.56,,1.39,11.0
Auckland,New Zealand,1127.81,947.13,2002.12,1640.38,2.23,2344.96,1.7,10.36,1.42,2.83,5.8,7.54,17.92,10.75,2.0,3.24,5.68,2.82,37.68,1.33,2.76,49.79,63.43,1.71,6.57,11.95,50.78,101.35,1.59,0.31,128.44,4.22,83.44,2.24,1.66,2.4,2.18,704.18,12204.08,1.68,6247.73,5090.16,33.45,1.49,2.27,31.36,10.73,2.93,17575.02,99.55,20909.09,,1.31,8.96
Podgorica,Montenegro,307.27,222.86,553.57,389.5,0.7,484.81,1.13,7.58,0.53,1.45,4.89,5.17,3.2,5.0,1.68,0.96,1.5,1.42,30.0,1.34,1.46,23.52,56.9,0.9,3.0,5.0,25.0,83.54,0.79,0.13,25.0,6.55,72.86,0.9,0.72,1.1,0.54,133.33,8400.0,1.12,1337.62,1036.79,31.14,0.5,1.0,6.0,10.0,1.18,17648.57,103.09,16990.0,,0.7,4.0
Vancouver,Canada,1424.9,1133.13,2586.43,1863.02,2.7,2625.31,1.28,12.43,2.36,3.05,11.49,10.61,10.31,10.31,1.4,2.06,4.81,2.71,35.6,1.07,2.63,48.94,47.41,1.86,6.87,11.69,55.0,97.36,1.63,0.25,67.37,3.78,72.71,2.06,2.29,2.76,2.22,849.75,14093.02,2.87,8649.48,6413.13,35.88,1.3,2.41,23.28,10.7,3.31,16057.11,62.72,17186.61,,1.71,13.75
Tokyo,Japan,1013.36,636.07,2270.89,1221.64,6.58,2657.42,2.81,19.66,1.54,3.21,9.64,6.56,4.1,14.75,1.2,2.22,4.1,1.95,77.29,1.14,3.45,38.33,58.4,1.62,5.7,8.19,40.97,120.05,1.55,0.37,81.95,1.46,71.31,1.56,2.87,5.02,3.2,604.02,17051.34,5.04,9581.79,5268.04,37.28,3.44,3.91,28.64,26.39,5.19,18110.35,162.41,20769.54,,1.07,9.01
Victoria,Canada,1047.12,872.6,1847.98,1513.3,3.06,2338.36,1.05,11.18,2.16,3.12,8.83,10.94,9.64,10.33,1.55,2.02,4.82,2.51,36.17,0.98,2.08,54.21,44.76,1.76,6.89,12.05,49.93,106.6,1.53,0.21,58.54,3.7,74.95,1.72,2.15,2.66,2.37,710.97,10171.93,4.41,4399.4,2753.97,29.97,1.35,2.34,28.69,7.52,3.52,15784.74,78.71,17217.21,,1.62,13.77
Winnipeg,Canada,679.1,640.46,1000.58,944.4,2.61,2068.87,1.17,9.21,1.71,3.09,6.95,9.04,11.0,8.94,1.49,1.59,4.12,2.17,34.77,0.77,1.92,48.43,41.31,1.73,6.8,10.31,41.25,75.29,1.21,0.19,68.75,3.45,64.95,2.03,1.24,1.74,1.57,375.57,7763.44,2.62,2217.04,1765.32,28.48,1.18,2.58,21.45,14.29,2.27,16214.83,87.74,17186.61,,1.53,10.31
"Boston, MA",United States,2275.95,1716.68,3574.7,2503.07,3.96,4132.08,1.39,14.07,2.62,3.6,12.75,11.0,9.88,13.47,1.75,2.01,6.29,2.34,51.97,0.66,2.32,61.7,43.34,1.68,7.18,13.47,62.85,91.75,0.78,0.08,80.81,4.22,71.03,2.22,3.4,4.17,1.79,1534.76,24642.48,3.68,8867.39,4036.93,27.76,1.67,2.69,25.14,15.39,5.14,18411.02,119.59,19789.8,,1.58,13.02
"Chicago, IL",United States,1702.25,1100.17,3168.97,1953.12,4.47,3717.02,1.47,12.4,2.54,3.69,9.95,9.53,11.67,11.67,1.75,1.82,4.94,2.05,42.52,0.74,1.88,57.23,45.28,1.42,7.18,13.47,53.87,96.56,0.7,0.16,94.28,4.23,73.0,2.24,2.39,3.69,2.22,1025.73,15972.64,3.92,3656.41,1816.95,35.06,1.26,2.92,21.55,23.05,3.52,18842.65,117.08,19614.71,,2.08,12.57
Almaty,Kazakhstan,288.22,178.04,565.15,357.57,1.04,374.42,1.23,5.49,0.24,1.78,5.87,3.12,0.95,3.58,0.4,0.56,1.07,0.9,39.41,0.39,1.1,10.47,44.78,1.25,3.81,4.77,23.84,86.52,0.75,0.03,17.16,15.4,74.49,0.19,0.28,1.4,0.37,153.08,4428.44,0.8,1119.15,691.71,38.14,0.35,0.95,2.62,9.43,1.09,17285.46,58.48,15494.56,,0.42,4.77
Oslo,Norway,1280.03,990.78,2080.65,1595.19,2.56,2985.88,2.21,25.58,2.92,4.28,10.64,12.69,11.98,14.15,2.92,3.04,9.0,3.79,42.44,1.65,3.6,45.73,92.08,2.02,11.12,18.7,80.88,132.04,1.8,0.08,75.83,2.81,97.4,3.64,1.61,2.34,1.84,319.19,10981.56,2.43,8323.16,5593.16,37.59,1.42,10.11,43.49,29.12,3.05,31245.91,158.58,34626.88,,1.7,15.17
