city,country,apartment_1bed_city_centre,apartment_1bed_outside_centre,apartment_3bed_city_centre,apartment_3bed_outside_centre,apples_1kg,average_salary_net,banana_1kg,beef_round_1kg,bread_500g,cappuccino,cheese_1kg,chicken_breasts_1kg,cigarettes_marlboro,cinema_ticket,coke_pepsi_bottle,domestic_beer_bottle,domestic_beer_draught,eggs_12,fitness_club_monthly,gasoline_1_liter,imported_beer_bottle,internet_unlimited,jeans_levis,lettuce_head,mcmeal_mcdonalds,meal_inexpensive_restaurant,meal_mid_range_restaurant,men_leather_shoes,milk_1_liter,mobile_tariff_minute,monthly_pass_transport,mortgage_interest_rate,nike_shoes,one_way_ticket_transport,onion_1kg,oranges_1kg,potato_1kg,preschool_monthly,primary_school_yearly,rice_1kg,sqm_price_city_centre,sqm_price_outside_centre,summer_dress_chain_store,taxi_1km,taxi_start,taxi_waiting_1hour,tennis_court_hourly,tomato_1kg,toyota_corolla,utilities_basic_apartment,volkswagen_golf,water_033_bottle,water_15_bottle,wine_bottle
Tashkent,Uzbekistan,209.86,124.02,449.24,239.9,0.93,205.98,1.79,4.76,0.15,1.11,3.73,2.35,1.17,3.59,0.54,0.51,0.9,0.92,24.77,0.46,1.46,35.48,35.25,0.21,2.7,3.59,15.72,61.57,0.64,0.02,13.48,18.36,68.86,0.13,0.25,2.22,0.38,125.64,3996.17,0.82,802.53,390.61,32.67,0.18,0.54,2.31,5.75,0.63,19227.58,31.53,17071.22,,0.28,2.7
Ahmedabad,India,199.17,149.35,366.69,267.89,1.48,303.54,0.48,5.7,0.45,1.4,5.83,3.39,3.16,3.16,0.39,1.59,1.9,0.83,18.18,0.91,2.99,7.34,25.76,0.49,3.16,1.9,8.86,29.11,0.64,0.01,5.06,9.75,42.83,0.25,0.33,0.77,0.28,51.34,1218.73,0.74,780.22,397.97,31.09,0.19,0.63,0.89,7.92,0.41,20809.53,47.94,10757.68,,0.35,7.59
Cluj-Napoca,Romania,387.79,284.75,698.74,497.97,0.72,642.86,1.05,6.32,0.64,1.6,5.55,4.22,3.87,5.23,1.14,0.73,1.57,2.01,26.21,1.21,1.27,7.34,49.15,0.57,4.18,5.23,23.0,69.49,0.98,0.07,14.64,5.4,63.06,0.52,0.53,0.97,0.5,262.05,4327.18,0.89,1900.75,1409.13,29.63,0.48,0.52,4.75,11.89,1.16,16513.42,91.85,15681.1,,0.54,4.18
Madrid,Spain,933.23,703.38,1643.28,1122.1,1.75,1578.77,1.7,10.71,1.05,1.76,9.87,6.23,5.0,9.0,1.71,0.99,3.0,1.65,35.57,1.34,1.69,41.89,71.0,0.99,8.0,12.0,40.0,86.22,0.83,0.17,54.6,2.13,71.17,1.5,1.11,1.56,1.05,442.96,7353.81,1.03,5233.54,2966.34,26.98,1.1,3.0,23.5,11.08,1.77,21470.45,119.87,20000.0,,0.71,5.45
Tallinn,Estonia,533.33,364.36,869.29,611.46,1.13,1188.81,1.06,8.34,0.87,2.79,7.2,5.28,4.25,8.0,1.83,1.42,4.0,1.58,45.44,1.35,1.53,22.88,71.23,0.99,6.0,8.0,45.0,88.33,0.7,0.04,23.0,2.39,67.16,2.0,0.56,1.37,0.49,250.94,7666.24,1.39,2632.65,1810.14,30.54,0.5,2.5,10.5,23.03,1.93,17310.65,175.25,17600.0,,0.58,7.0
Bangalore,India,213.5,124.18,545.83,315.83,2.08,579.22,0.68,4.42,0.44,1.63,5.79,3.0,3.8,3.8,0.44,1.57,1.9,0.81,20.0,0.98,2.99,12.42,29.66,0.54,3.16,2.53,12.66,35.07,0.53,0.01,15.82,9.19,42.78,0.38,0.41,0.93,0.36,87.82,2473.25,0.68,1578.13,685.08,27.71,0.23,0.63,0.76,5.18,0.39,22444.75,22.24,11390.48,,0.36,7.59
Iasi,Romania,272.07,202.65,479.23,338.9,0.76,529.52,1.08,6.17,0.54,1.48,4.74,4.21,3.77,5.02,1.16,0.81,1.26,1.97,28.32,1.19,1.3,6.8,52.92,0.57,4.19,5.23,20.93,63.36,0.9,0.07,16.74,5.14,56.2,0.52,0.63,1.02,0.53,216.07,3218.01,0.95,1293.58,882.21,31.39,0.52,0.52,5.23,8.57,1.08,16999.32,115.11,15697.62,,0.53,4.19
Chennai,India,163.9,98.51,398.88,225.75,2.03,403.82,0.78,4.17,0.41,1.3,4.88,2.8,3.8,2.53,0.42,1.49,1.9,0.75,17.63,0.98,2.59,11.19,26.94,0.36,3.35,1.52,7.59,29.83,0.6,0.01,12.66,9.89,38.55,0.25,0.45,1.08,0.45,51.12,1470.3,0.67,1647.69,672.8,23.73,0.19,1.27,0.76,5.58,0.41,21604.75,35.72,11390.48,,0.39,6.33
Doha,Qatar,1320.12,874.29,2500.0,1729.62,1.8,2827.76,1.4,8.98,1.4,4.62,8.09,6.07,5.19,8.66,0.65,7.58,11.13,2.53,95.89,0.48,8.42,78.31,55.34,1.48,6.18,6.18,49.47,78.59,1.62,0.15,37.0,4.8,83.76,0.74,0.77,1.42,0.99,537.35,8918.89,1.43,3986.95,2696.24,46.12,0.47,2.47,7.92,24.29,1.6,16539.84,64.59,17315.57,,0.51,28.32
Delhi,India,200.32,123.19,491.27,291.67,1.63,473.8,0.67,5.19,0.4,1.64,4.22,3.35,3.8,3.8,0.42,1.36,1.9,0.87,21.35,0.94,2.39,9.76,30.56,0.43,3.16,3.8,15.19,37.65,0.64,0.01,12.66,9.23,47.87,0.38,0.34,0.76,0.29,68.71,1674.83,0.79,1783.51,857.45,33.54,0.19,0.63,0.76,7.29,0.45,21350.29,51.68,10124.87,,0.37,9.49
Gurgaon,India,238.36,146.22,569.92,350.88,2.02,859.33,0.71,6.04,0.4,1.71,4.37,3.39,3.8,4.43,0.39,1.49,1.96,1.01,29.15,0.94,2.38,12.81,33.43,0.6,3.16,3.8,12.66,43.62,0.63,0.01,13.92,9.22,54.08,0.51,0.36,0.93,0.3,104.09,2512.76,0.9,1534.45,940.84,39.62,0.16,0.63,1.14,7.54,0.49,22201.55,63.53,10757.68,,0.35,10.12
Valencia,Spain,672.08,463.64,1053.57,704.81,1.51,1342.17,1.34,10.42,0.81,1.53,10.83,5.92,5.0,8.0,1.51,0.69,2.0,1.52,31.35,1.3,1.0,35.26,69.0,0.85,7.0,8.75,35.0,88.33,0.67,0.18,41.9,2.36,65.48,1.5,0.92,1.0,0.83,405.64,7422.22,0.88,2605.35,1350.0,29.32,1.08,4.0,19.32,11.62,1.46,18714.29,113.44,18000.0,,0.38,4.0
Vienna,Austria,858.37,621.65,1584.2,1105.34,1.99,1900.43,1.67,14.3,1.75,3.19,10.41,8.95,5.5,10.0,2.77,0.97,4.0,2.55,27.44,1.24,1.54,30.86,78.53,1.19,7.25,10.0,45.0,108.19,1.03,0.04,48.0,2.1,81.5,2.4,1.34,2.08,1.29,211.88,16035.71,1.26,6403.78,4164.43,32.94,1.42,4.0,27.8,18.33,2.33,22357.62,158.45,22700.0,,0.54,6.99
Hyderabad,India,156.95,92.66,392.34,221.72,1.94,441.12,0.57,4.16,0.45,1.17,5.11,3.02,3.8,2.53,0.42,1.44,1.52,0.78,18.1,0.98,2.36,9.47,26.6,0.57,3.8,1.9,8.86,32.19,0.62,0.01,12.02,9.53,41.62,0.25,0.33,0.98,0.35,60.32,1715.91,0.65,966.07,537.56,26.36,0.19,0.63,0.95,7.02,0.44,21345.77,21.79,11517.04,,0.37,8.86
Montevideo,Uruguay,428.25,338.45,727.77,578.57,1.52,642.49,1.81,7.1,1.69,2.35,7.55,6.19,3.6,7.21,1.25,1.56,1.92,2.04,40.13,1.31,1.86,28.65,66.95,0.9,6.96,8.41,31.23,92.51,0.67,0.16,36.04,8.0,81.63,0.91,1.16,1.1,1.27,275.58,5749.21,1.01,2222.38,1780.26,32.38,0.62,0.99,8.81,12.75,1.72,28427.94,98.22,26432.17,,1.06,5.65
Tel Aviv-Yafo,Israel,1326.91,993.88,2192.51,1613.78,2.67,2306.23,2.26,19.92,2.24,3.4,12.84,9.41,9.07,10.36,2.37,2.25,7.77,3.19,67.82,1.64,3.11,24.84,86.54,1.78,12.95,15.54,64.75,114.91,1.54,0.04,55.69,3.67,114.41,1.53,1.02,1.69,1.22,837.46,9237.96,2.25,10968.44,7192.46,46.73,0.96,3.21,23.31,16.66,1.58,34787.86,197.25,34966.12,,1.28,12.95
Timisoara,Romania,287.68,217.44,531.19,385.53,0.74,613.27,1.07,7.42,0.68,1.42,4.33,4.06,3.61,5.23,0.99,0.68,1.25,2.11,25.3,1.19,1.11,7.53,45.43,0.56,4.18,5.23,20.91,71.72,0.92,0.03,18.82,5.15,60.43,0.52,0.5,0.96,0.5,256.78,3668.81,0.89,1376.56,1053.88,25.72,0.52,0.52,5.02,10.45,1.06,16218.73,95.29,15960.0,,0.49,4.18
Taipei,Taiwan,487.78,323.83,1084.45,730.68,4.43,1340.77,1.93,18.99,1.63,2.64,17.0,7.79,3.31,9.02,0.8,1.41,1.77,2.24,40.35,0.88,2.09,20.55,60.58,1.39,3.91,3.61,24.04,105.25,2.64,0.13,38.47,1.9,78.11,0.6,2.04,2.53,2.58,464.55,10610.54,3.05,11375.12,6378.89,31.0,0.75,2.1,7.06,12.08,2.96,20708.03,68.8,27049.67,,1.12,13.52
Kolkata,India,138.31,79.35,321.93,184.5,1.63,323.06,0.6,4.15,0.29,1.38,4.29,2.43,3.8,3.16,0.35,1.53,1.87,0.78,15.18,0.96,2.73,7.72,29.84,0.32,3.79,2.53,10.76,30.39,0.5,0.01,3.16,9.13,41.37,0.13,0.36,1.05,0.27,37.06,1126.1,0.59,1031.14,535.32,29.48,0.22,0.38,0.76,7.07,0.43,19667.56,29.47,10757.68,,0.35,7.59
Skopje,Macedonia,233.43,168.07,418.35,296.24,0.73,393.01,0.94,6.6,0.47,1.37,5.33,4.58,2.27,4.06,1.27,0.73,1.62,1.38,22.03,1.1,0.93,15.11,48.85,0.35,3.25,4.87,16.25,73.57,0.84,0.1,24.37,5.52,66.37,0.57,0.54,0.87,0.5,167.42,3238.83,1.05,1227.84,881.05,27.86,0.41,0.65,4.87,8.51,0.88,17796.64,107.26,16978.82,,0.43,4.87
Shanghai,China,970.31,477.33,2220.7,1159.18,2.19,1111.52,1.56,12.53,1.76,3.82,13.48,4.4,2.73,7.81,0.56,0.66,1.3,2.3,44.9,0.92,2.01,14.26,60.73,0.58,4.56,4.56,26.04,97.81,2.39,0.03,26.04,5.08,82.77,0.52,1.01,2.08,1.0,676.74,22470.47,1.13,12057.49,6130.48,33.0,0.39,1.82,4.69,11.8,1.33,17412.39,51.7,18230.92,,0.61,15.63
Bangkok,Thailand,611.26,299.91,1819.06,803.37,2.81,668.6,1.16,12.62,0.99,2.07,19.58,2.7,4.38,7.42,0.51,1.79,2.37,1.67,61.07,0.89,3.52,20.69,55.13,0.95,5.04,1.78,23.74,85.25,1.51,0.05,35.61,5.57,88.52,1.04,1.13,2.2,1.24,244.68,13741.17,1.2,4978.84,2299.65,33.3,0.25,1.04,3.56,8.37,1.41,25233.71,88.89,38574.86,,0.51,22.25
Mumbai,India,515.42,263.33,1443.43,608.27,1.85,487.96,0.65,4.16,0.41,1.92,5.11,3.28,3.8,3.8,0.45,1.7,2.28,0.84,24.63,1.0,3.28,9.09,31.35,0.61,3.8,3.8,15.19,35.47,0.68,0.01,3.8,9.21,47.14,0.25,0.37,1.07,0.33,63.14,2070.3,0.73,6038.18,2404.08,29.83,0.28,0.28,1.27,8.89,0.47,20378.51,47.45,10757.68,,0.36,7.59
Reykjavik,Iceland,1458.29,1203.14,2332.0,1918.32,2.09,2908.86,1.66,20.84,2.91,4.11,12.29,14.72,10.18,11.57,2.61,2.46,8.73,4.8,54.44,1.63,2.4,59.63,108.5,2.2,11.64,17.96,109.16,164.79,1.2,0.15,93.15,6.3,126.37,3.42,1.42,1.96,1.86,245.58,6731.73,2.37,4384.32,3273.73,45.09,2.28,5.02,57.64,33.0,3.37,30138.76,88.14,26126.4,,1.57,18.19
Amman,Jordan,373.84,261.02,619.69,446.92,1.88,545.55,1.6,10.96,0.43,3.74,7.3,6.06,3.17,10.14,0.47,4.44,6.34,1.89,56.38,1.07,5.88,38.86,59.21,0.59,6.34,6.34,38.02,84.4,1.49,0.05,38.02,7.91,84.76,0.63,0.71,1.28,0.88,240.53,4568.62,1.43,1218.93,819.22,59.53,0.39,0.44,6.34,26.48,0.74,26341.51,80.62,30414.16,,0.53,19.01
Pune,India,205.68,127.68,400.17,259.74,2.05,531.09,0.68,4.74,0.44,1.61,5.77,3.01,3.8,3.54,0.44,1.62,2.28,0.85,16.08,1.0,2.61,11.7,34.41,0.56,3.16,3.16,12.66,37.77,0.63,0.01,12.66,9.27,46.57,0.25,0.37,1.09,0.33,71.29,1467.45,0.7,1491.93,808.94,31.74,0.23,0.63,1.27,5.09,0.48,21438.9,26.65,11390.48,,0.37,7.59
Stockholm,Sweden,1167.36,804.1,1930.04,1198.21,2.47,2476.17,2.21,14.86,2.18,3.64,8.17,9.81,6.17,12.82,2.3,1.82,6.55,2.81,37.83,1.49,1.88,27.98,85.93,1.81,7.6,11.4,66.47,126.6,1.16,0.12,84.51,2.46,92.5,3.8,1.2,2.35,1.18,116.13,5785.11,2.43,8841.79,5282.64,33.52,1.31,4.27,49.38,26.69,3.11,20991.58,75.9,20354.4,,1.61,9.5
Buenos Aires,Argentina,245.13,197.02,436.43,334.47,1.02,483.99,1.13,4.71,1.1,1.46,5.74,3.69,1.62,5.99,0.94,0.99,1.5,1.35,25.9,0.79,1.51,24.79,49.47,0.77,4.94,5.99,20.97,65.54,0.81,0.13,10.78,48.69,65.38,0.3,0.74,0.54,0.53,162.72,3114.28,0.77,2865.01,2208.84,39.77,0.34,0.72,4.12,9.29,1.02,16555.15,68.07,16200.77,,0.85,3.0
Minsk,Belarus,376.92,244.9,593.05,386.38,0.95,433.37,1.13,6.11,0.56,1.64,5.44,3.34,1.37,4.04,0.66,0.85,1.8,1.11,31.85,0.71,1.77,12.84,57.87,0.93,4.49,8.93,27.95,83.35,0.68,0.04,13.48,14.63,86.17,0.27,0.48,1.5,0.42,402.08,5345.2,1.02,1526.65,1067.94,34.32,0.25,1.68,2.59,15.41,1.76,17670.15,48.29,13477.27,,0.58,7.19
San Jose,Costa Rica,461.72,405.66,884.11,757.82,3.76,708.44,1.29,8.87,1.69,2.64,5.94,7.01,3.46,5.5,1.37,1.89,2.36,2.5,53.68,1.0,3.37,65.3,60.21,0.94,6.29,6.29,42.47,86.8,1.23,0.06,42.12,9.45,87.4,0.63,1.92,2.08,1.81,322.57,7231.91,1.82,1412.49,1305.61,43.17,1.04,1.02,5.95,24.9,2.28,23528.04,65.12,20446.99,,2.16,12.58
Casablanca,Morocco,386.18,180.27,793.74,383.51,1.33,405.7,1.21,7.43,0.84,1.51,7.19,4.39,3.28,5.63,0.46,2.08,2.58,1.2,24.49,0.97,2.03,31.63,44.09,0.34,5.16,4.45,20.63,77.22,0.67,0.13,21.57,4.87,73.19,0.47,0.52,0.52,0.46,142.24,4031.18,1.09,1769.77,875.41,34.81,0.68,0.7,4.11,15.63,0.44,19226.1,35.74,20632.89,,0.54,7.97
Lodz,Poland,362.66,280.88,593.51,473.31,0.66,689.44,0.98,7.2,0.61,1.73,5.53,3.77,3.78,5.9,0.99,0.69,1.77,1.76,26.35,1.17,1.0,12.53,57.47,0.7,4.25,4.72,23.61,63.83,0.55,0.06,21.25,3.77,63.26,0.66,0.82,1.07,0.49,230.29,3407.97,0.82,1351.78,1069.61,26.98,0.47,1.42,8.5,10.48,1.35,17681.61,172.01,18558.88,,0.44,4.72
Montreal,Canada,871.26,551.99,1481.25,942.77,2.55,2182.51,1.33,11.84,2.39,2.83,12.14,10.8,8.25,8.94,1.5,1.77,4.81,2.23,23.04,0.88,2.11,42.59,44.12,1.66,6.87,10.31,44.69,82.98,1.4,0.23,59.47,3.46,68.19,2.41,1.73,2.74,1.69,450.09,5704.32,2.09,3863.77,2297.9,31.69,1.2,2.41,26.81,11.17,3.01,15522.12,66.62,16499.14,,1.42,11.68
Sao Paulo,Brazil,448.08,294.58,879.31,580.49,1.44,470.25,1.08,6.13,1.35,1.46,7.78,2.76,2.19,7.68,1.1,1.17,1.97,1.62,25.41,0.92,2.45,24.2,40.04,0.59,5.92,6.58,28.51,54.2,0.74,0.37,45.82,9.67,71.26,0.94,1.0,0.94,0.98,382.48,10102.57,0.91,2337.54,1553.09,35.07,0.6,1.1,7.24,31.8,1.48,19475.33,54.21,20133.28,,0.61,8.77
Gothenburg,Sweden,952.59,715.92,1561.88,1138.77,2.4,2183.46,2.0,14.08,2.32,3.58,8.89,9.16,6.17,12.34,2.22,1.56,6.31,2.53,32.03,1.49,1.79,30.42,77.49,1.84,7.6,10.45,75.97,108.28,1.1,0.08,62.44,2.8,74.2,2.66,1.13,2.18,1.03,127.02,1660.95,2.31,5547.68,3692.31,36.36,1.36,4.84,51.18,20.7,2.83,18262.15,51.69,18991.75,,1.3,9.02
Dublin,Ireland,1692.24,1405.38,2964.36,2292.57,2.09,2531.16,1.9,9.24,1.42,3.2,7.51,8.35,12.7,12.0,1.8,2.42,5.8,2.79,40.22,1.44,2.69,54.01,77.61,0.96,8.0,15.0,60.0,95.52,0.95,0.26,125.0,3.43,85.42,3.0,1.14,2.3,1.56,1041.49,8078.42,1.59,5457.63,4134.61,35.45,1.35,4.0,26.73,15.94,2.77,25618.07,169.12,24000.0,,1.41,12.0
Moscow,Russia,888.23,518.48,1840.45,990.88,1.28,970.29,0.97,7.72,0.62,2.43,9.03,4.13,2.2,6.6,0.8,0.93,2.93,1.26,41.55,0.68,2.01,6.79,83.46,1.11,4.4,8.8,36.69,111.66,1.03,0.03,31.84,10.07,88.3,0.73,0.5,1.31,0.52,523.31,10478.53,1.09,5311.38,2540.11,44.54,0.21,1.89,7.92,25.26,2.21,19737.85,126.36,20969.6,,0.62,7.34
Santo Domingo,Dominican Republic,381.17,203.64,754.18,359.54,1.75,335.33,0.63,6.78,1.23,1.51,6.01,4.47,3.4,5.1,0.79,1.87,1.7,1.64,22.49,1.05,2.77,50.03,43.59,0.96,5.1,5.1,34.01,79.85,1.03,0.15,34.01,12.38,73.9,0.43,1.59,1.33,1.23,152.38,5318.02,0.93,1203.97,672.98,45.87,2.55,3.4,3.4,13.09,1.02,20430.09,53.67,20780.4,,1.17,10.2
Adelaide,Australia,817.81,601.79,1369.39,971.7,2.63,2653.26,2.11,10.09,1.44,2.63,5.91,6.45,18.64,9.32,2.15,3.41,4.97,2.5,34.05,0.93,4.07,41.95,56.55,1.76,6.84,11.19,40.39,76.91,0.97,0.32,61.52,4.1,75.21,2.36,1.52,2.12,1.75,396.25,8815.92,1.61,2482.56,1715.15,35.4,1.16,2.8,24.48,1.42,2.61,15167.61,119.44,15534.8,,1.46,9.32
Zurich,Switzerland,1701.77,1263.69,3099.86,2296.54,3.82,5714.8,2.89,46.09,2.88,4.66,22.63,25.23,7.86,16.64,3.87,1.79,6.24,5.33,76.33,1.53,2.55,48.71,106.93,2.58,12.94,23.12,92.46,171.22,1.58,0.26,78.59,1.57,111.39,3.88,2.69,4.1,2.75,2194.64,28414.08,2.52,11400.6,7405.74,46.47,4.16,6.47,73.78,32.9,3.79,21449.95,162.87,22606.84,,1.13,12.02
Yerevan,Armenia,320.04,170.55,664.25,313.63,0.9,295.66,1.2,5.96,0.43,1.95,4.29,4.17,1.13,4.7,0.6,0.75,1.13,1.44,43.14,0.83,1.23,14.09,51.8,0.37,4.6,4.7,22.54,69.2,0.82,0.03,11.27,11.59,73.47,0.19,0.5,1.07,0.44,141.66,3020.37,1.08,1383.05,714.57,37.56,0.19,1.13,2.25,11.31,0.71,19843.59,60.06,16043.44,,0.44,5.64
Manila,Philippines,552.51,192.18,1679.37,462.62,2.17,358.2,1.26,5.12,1.05,2.29,4.41,3.13,1.78,5.35,0.62,0.87,1.25,1.51,43.97,0.92,1.48,45.47,42.43,0.93,2.67,3.56,17.82,76.79,1.48,0.14,12.05,8.0,70.59,0.27,1.71,1.76,1.6,143.94,5990.32,0.91,2334.19,1128.49,26.97,0.24,0.71,2.14,5.35,1.21,16737.32,120.87,16000.78,,0.69,6.68
Brisbane,Australia,1041.75,757.35,1796.62,1148.61,2.58,3030.03,2.05,10.46,1.73,2.8,5.54,6.23,18.58,9.29,2.04,3.36,4.95,2.45,40.03,0.92,3.69,47.06,59.31,1.49,7.43,12.38,49.54,83.57,0.9,0.18,94.23,4.02,87.0,2.48,1.6,2.55,1.95,1074.36,8746.12,1.43,3996.61,2656.91,32.05,1.34,2.6,30.46,13.15,3.24,14810.45,108.52,15479.87,,1.34,12.38
Jakarta,Indonesia,401.19,224.82,1361.18,634.08,2.8,414.33,1.46,8.08,1.11,2.32,6.7,2.99,1.64,3.28,0.56,2.11,2.62,1.52,38.09,0.6,2.79,26.47,39.61,1.07,3.28,2.62,16.4,83.08,1.24,0.12,11.41,10.0,65.65,0.23,2.22,2.35,1.44,140.45,5755.87,0.86,2197.78,1104.45,29.82,0.33,0.46,2.76,9.24,1.38,27582.69,96.12,26244.34,,0.49,29.52
Ankara,Turkey,198.86,125.32,322.86,200.2,0.8,440.17,1.78,9.24,0.41,1.7,5.09,3.38,2.44,3.06,0.65,1.74,2.75,1.4,20.81,1.07,2.37,14.11,35.67,0.53,3.51,3.82,15.28,47.0,0.69,0.11,22.92,20.19,55.84,0.46,0.51,0.74,0.56,242.55,5303.45,1.26,692.22,420.59,24.1,0.46,0.69,3.82,9.5,0.79,20134.24,54.61,24198.72,,0.26,6.87
Lviv,Ukraine,364.65,249.9,589.43,414.33,0.76,341.38,1.13,5.65,0.46,1.15,5.59,3.6,1.54,3.75,0.48,0.62,1.5,1.21,17.16,1.14,1.32,4.44,59.94,0.62,3.56,3.75,18.76,97.41,0.85,0.03,5.63,18.96,85.5,0.26,0.41,1.33,0.38,192.51,2729.0,1.02,1182.64,609.22,40.06,0.26,1.88,3.0,8.84,1.34,20334.03,88.45,20706.61,,0.46,4.03
Novosibirsk,Russia,344.85,225.13,635.89,406.41,1.48,436.28,1.1,7.2,0.49,1.88,7.3,3.88,1.91,4.4,0.69,0.9,1.1,1.0,27.49,0.64,1.5,7.96,65.73,0.63,3.67,5.72,22.01,82.09,0.85,0.03,11.01,10.79,82.6,0.32,0.36,1.26,0.37,222.83,2474.58,0.95,1273.8,788.31,43.52,0.15,1.58,4.4,17.31,1.8,18129.31,94.51,18196.16,,0.5,5.87
Bursa,Turkey,177.53,121.74,315.38,203.48,0.81,443.85,1.73,10.08,0.42,1.59,5.93,3.15,2.29,3.06,0.7,1.64,2.37,1.63,23.4,1.05,2.14,12.93,29.38,0.53,3.06,3.82,11.47,46.84,0.69,0.12,22.95,19.05,57.01,0.51,0.55,0.81,0.5,200.51,4036.19,1.4,573.51,385.98,17.75,0.5,0.64,2.75,8.21,0.79,20892.07,67.46,22948.67,,0.29,7.65
Brussels,Belgium,838.2,686.19,1432.14,1116.71,2.17,2289.69,1.63,13.56,1.64,3.17,13.14,9.07,6.7,11.0,2.47,1.24,4.0,2.65,26.11,1.44,1.87,43.43,72.59,1.29,8.2,15.0,60.0,116.11,0.97,0.23,49.0,1.68,78.65,2.1,1.3,2.24,1.5,695.44,18342.86,2.19,3232.14,2538.1,33.81,1.95,3.0,30.0,16.94,2.07,21788.33,122.98,20200.0,,0.94,7.0
Jerusalem,Israel,919.4,740.05,1577.52,1213.39,2.76,1911.12,1.78,13.52,1.54,2.8,10.63,8.33,9.08,10.37,2.07,2.02,7.26,3.32,71.27,1.67,3.04,24.16,81.25,1.19,12.97,15.56,62.24,110.38,1.43,0.13,55.23,3.75,104.25,1.53,0.94,1.35,0.89,566.18,4019.43,2.06,7929.81,4754.16,56.11,0.95,3.11,21.24,16.6,1.31,34921.49,166.88,34229.98,,1.5,10.37
Melbourne,Australia,1134.86,859.46,2027.71,1341.31,2.56,2791.96,2.2,9.42,1.88,2.63,6.12,6.64,19.01,12.38,1.91,3.13,5.57,2.85,46.28,0.91,3.37,43.28,61.86,1.57,7.12,10.22,49.54,84.07,0.9,0.12,95.36,4.11,75.79,2.72,1.78,2.15,2.24,1250.41,12874.09,1.58,5967.57,4802.08,36.07,1.11,3.1,21.18,14.14,3.06,15221.84,127.87,15479.87,,1.28,9.29
Perth,Australia,897.5,639.56,1474.61,982.76,2.41,2493.77,2.11,9.49,1.76,2.86,6.52,6.9,18.64,11.19,1.79,2.99,5.9,2.59,39.32,0.87,3.96,43.78,57.64,1.26,7.32,12.43,56.55,86.35,1.03,0.32,84.02,4.31,76.64,2.58,1.29,2.15,1.54,1190.12,11526.08,1.96,4005.94,2866.79,32.49,1.07,3.11,30.45,11.99,2.4,15239.2,129.02,16149.98,,1.68,9.32
Sydney,Australia,1568.39,1140.67,2674.32,1810.32,2.77,3018.36,2.17,11.24,1.85,2.48,7.68,7.15,20.82,12.43,1.99,3.42,4.97,2.79,47.37,0.93,3.73,43.51,61.22,1.59,7.15,11.81,54.37,94.94,0.9,0.38,130.49,3.82,86.5,2.73,1.72,2.38,2.08,1389.43,11933.55,1.65,8435.22,5375.57,38.11,1.37,2.49,35.05,13.5,3.01,15066.62,110.7,15845.5,,1.29,11.19
Alexandria,Egypt,142.04,84.65,285.82,169.03,1.48,163.94,0.66,8.37,0.51,1.45,3.68,4.07,2.25,3.66,0.32,1.31,1.69,1.02,19.58,0.39,1.97,16.57,32.34,0.2,3.38,2.81,14.06,49.58,0.81,0.01,8.44,16.17,114.49,0.23,0.31,0.4,0.37,55.41,2132.54,0.66,672.49,291.12,40.48,0.14,0.34,2.25,7.52,0.39,23071.86,18.56,23626.73,,0.26,7.03
Quito,Ecuador,369.07,221.89,680.28,447.51,2.07,527.18,0.99,6.46,1.35,1.81,5.47,6.01,4.49,5.39,0.71,1.26,1.35,1.59,40.91,0.54,2.55,36.77,56.57,0.58,5.39,3.59,31.45,84.05,0.87,0.11,23.81,10.71,88.39,0.22,0.94,1.32,1.02,276.63,6410.05,1.34,1388.16,947.32,41.74,1.35,1.35,8.98,16.73,1.06,25324.92,39.64,21563.64,,0.93,11.68
